id	name	type	min	max	description
801	Interchange Format	AN	1	30	Industry or proprietary standard used to identify the format of the data
802	Program Identifier	AN	1	30	Identifies the name of the software program from which the technical data originates
803	File Name	AN	1	64	Name assigned or declared for a file or used by a program to identify a file; exact format of the name depends on the computer operating system being used; name also may be known as the file's data set name
804	Block Type	AN	1	4	Organization of a data block such as fixed length, variable length, spanned, etc. Synonym for data format
805	Canadian Hazardous Notation	AN	1	25	Notation required by Canadian regulatory agencies
806	EPA Waste Stream Number Code	ID	4	6	Waste stream number applicable to the movement of hazardous waste as determined by government regulations
807	Waste Characteristics Code	ID	12	16	Waste characteristics as defined by regulatory requirements
808	Hazardous Material Shipment Information Qualifier	ID	3	3	Qualifier indicating the type of information being passed so that a receiver may format a description of hazardous commodity movements that meets regulatory requirements
809	Hazardous Material Shipment Information	AN	1	25	Specific information required by law for hazardous material shipments
810	Inner Pack	N0	1	6	The number of eaches per inner container
811	Obligation Type Code	ID	2	2	Code indicating a type of financial obligation
812	Payment Format Code	ID	1	10	Code identifying the payment format to be used
813	Station Type Code	ID	1	1	Code identifying the type of geographic location
814	Nesting Code	ID	1	1	Code indicating orientation of exposure
815	Property Inspection Qualifier	ID	2	2	Code indicating a part of the property being inspected
816	Occupancy Verification Code	ID	2	2	Code indicating the method used to verify the occupancy of the property
817	Tax Information Identification Number	AN	1	30	Identifying number for Tax Information Field
818	Name Control Identifier	AN	1	4	Name control field for tax information consisting of the first four characters of a business name or of an individual's name, or the entire name, if fewer than four characters
819	Language Code	ID	2	3	Code designating the language used in text, from a standard code list maintained by the International Standards Organization (ISO 639)
820	Report Section Name Code	ID	2	2	Code identifying the name of the section of the report
821	Safety Characteristic/Hazard Code	ID	3	3	Code indicating precautionary measures, means of treatment and hazard information and warnings
822	Source Subqualifier	AN	1	15	A reference that indicates the table or text maintained by the Source Qualifier
824	Security Originator Name	AN	1	64	Unique designation (identity) of the cryptographic process that performs authentication or encryption on data to be interchanged, or originates a cryptographic service message Note: X9 has a minimum length of 4 characters for the security originator; no mechanism, or registration method is provided by X9 or X12 to guarantee the uniqueness of the identifier Note: X9 has a minimum length of 4 characters for the security originator; no mechanism, or registration method is provided by X9 or X12 to guarantee the uniqueness of the identifier
825	Security Recipient Name	AN	1	64	Unique designation (identity) of the cryptographic process that performs authentication or decryption on received data, or is the destination of a cryptographic service message Note: X9 has a minimum length of 4 characters for the security recipient; no mechanism, or registration method is provided by X9 or X12 to guarantee the uniqueness of the identifier Note: X9 has a minimum length of 4 characters for the security recipient; no mechanism, or registration method is provided by X9 or X12 to guarantee the uniqueness of the identifier
826	Owners Share	R	1	8	To indicate owner's share of the property
828	Dollar Basis For Percent	R	1	9	Dollar basis to be used in the percent calculation of the allowance, charge or tax
829	Fuel Type	ID	1	1	Code used to identify type of fuel
831	Inspection Location Type Code	ID	1	2	Code to define the location where a type of inspection is performed
832	Ramp Identification	AN	1	9	A mutually agreed upon ramp identity
833	Automotive Manufacturers Code	ID	2	2	Code (ARR) used to identify vehicle manufacturer
834	Inspector Identity Code	AN	1	6	A code assigned by each inspection agency to each inspector
835	Supplemental Inspection Code	ID	1	1	A code to indicate a supplemental inspection
836	Vehicle Deck Position Code	ID	2	2	Code to identify the specific position of a vehicle on multi-level equipment; when dealing with rail cars the front end will be defined as that end of the rail car which the vehicle faces
837	Vehicle Type Code	ID	1	1	Vehicle Type Code for freight rate and claims purposes
838	Dealer Code	AN	2	9	A code assigned by a manufacturer to identify their dealers
839	Bay Location	AN	1	6	Location where the releasing agent placed the motor vehicle
844	Inbound Condition Hold Code	ID	2	2	Code designating condition status of units being shipped
845	Chassis Type	ID	2	2	Code identifying type of chassis
846	Contract Status Code	ID	2	2	Code designating the current status of the contract
847	Order/Item Code	ID	1	2	Code identifying a group of orders and items
848	Product/Date Code	ID	1	2	Code indicating whether the inquiry is based on products and/or date parameters
849	Location Code	ID	1	2	Code indicating the selection of a supplier's and/or buyer's locations or group of locations
850	Status Report Code	ID	1	2	Code indicating the reason for sending the report
851	Nesting	R	1	6	The amount of distance that one product fits into (or nests within) another product
852	Address Type Code	ID	1	1	Code identifying the type of address associated with the station
853	Damage Reason Code	ID	2	2	Code identifying the specific reason for exception condition
854	Vessel Type Code	ID	2	2	Code to determine type of vessel
855	Peg Code	ID	1	1	Code indicating how the vertical or height distance is measured for peg hole items
856	Rate Level Qualifier Code	ID	1	1	Code identifying the type of rate level used
857	Pre-Price Quantity Designator	N6	1	9	Number of units for which retail value is quoted
858	Retail Pre-Price	R	1	9	Retail value to be placed/printed for an item appearing on the transmitted purchase order
859	Activity Code	ID	2	2	Code identifying activity details for the product being reported
860	D-U-N-S Number	ID	9	9	Identifying number assigned by Dun & Bradstreet (Data Universal Numbering System)
861	Supplier's Delivery/Return Number	AN	1	22	Identifying number assigned by the supplier to the transaction
862	Receiver's Location Number	AN	1	6	Number assigned by the customer that when combined with receiver Duns number uniquely identifies the receiving location
863	X-Peg	R	1	6	Horizontal distance from the edge to the center of the peg hole (measured from the left)
864	Y-Peg	R	1	6	The vertical distance from the edge to the center of the peg hole as specified by the peg code
865	Total Deposit Dollar Amount	N2	1	6	Sum of deposit amounts separately identified
866	Integrity Check Value	AN	1	12	Data element providing secure method for identifying authenticity of content. Value calculated by using CRC 16 algorithm
867	Signature	AN	1	12	Electronic identity. Calculation algorithm obtained from the Uniform Code Council
868	Initiator Code	ID	1	1	Code identifying initiator of the transaction
869	Adjustment Number	N0	1	1	Sequential number for adjustment beginning with 1 and incremented by 1 for each additional adjustment regardless of which party is the originator
870	Receiver Delivery/Return Number	AN	1	22	Identifying number assigned by the customer to the transaction
871	Supplier's Location Number	AN	1	6	Number assigned by supplier that provides uniqueness when combined with sender Duns number
872	Physical Delivery or Return Date	DT	8	8	Actual or intended date of physical delivery or return expressed in format CCYYMMDD
873	Product Ownership Transfer Date	DT	8	8	Date which is meaningful for both supplier and distributor for various mutually defined purposes (i.e., date of product ownership transfer) expressed in format CCYYMMDD
874	Space Management Reference Code	ID	2	2	The identification code of the name of the space management system that the symbol code represents
875	Maintenance Type Code	ID	3	3	Code identifying the specific type of item maintenance
876	Alternate Tiers per Pallet	ID	1	3	Number indicating the alternate tiers per pallet structure; the three digits represent the number of tiers per pallet
877	Vessel Stowage Location	AN	1	12	Location of cargo stowed on board an ocean vessel
878	Cash Register Item Description	AN	1	20	The cash register description of an item
879	Coupon Family Code	AN	3	3	A code assigned by the vendor to a single item or to families of consumer items that can be used by in-store scanners in conjunction with a UPC coupon value code for instant credit when the proper item has been purchased
880	Dated Product Number of Days	N0	1	4	Used to designate the number of days open dated product must 'sell by' from date of manufacture
881	Deposit Value	R	1	8	To designate the value for returnable containers
883	Pallet Type Code	ID	1	2	Code indicating the type of pallet
884	Pallet Tiers	N0	1	3	The number of layers per pallet
885	Pallet Blocks	N0	1	3	The number of pieces (cartons) per layer on the pallet
886	Nonconformance Report Status Code	ID	2	2	Code identifying the status of the nonconformance report
887	Nonconformance Resultant Response Code	ID	1	2	Code identifying a response that is the result of a nonconformance situation
888	Nonconformance Determination Code	ID	1	1	Code indicating whether a nonconforming condition was the reason for submitting or the basis upon which a nonconformance report is initiated
889	Follow-up Action Code	ID	1	1	Code identifying follow-up actions allowed
890	Carrier/Route Change Reason Code	ID	2	2	Code reflecting reason a requested carrier or route was changed
891	Shipping Date Change Reason Code	ID	2	2	Code informing a depositor why shipment of an order was delayed
892	Line Item Change Reason Code	ID	2	2	Code defining reason for any difference between quantity ordered and quantity shipped for a line item
893	Warehouse Detail Adjustment Identifier	ID	1	1	Code to identify detail line item as an adjustment to inventory levels
894	Batch Type Code	ID	2	2	Code indicating batch status to customer of lockbox facilities
895	Availability	R	1	6	Funds availability expressed in days
897	Vessel Code Qualifier	ID	1	1	Code specifying vessel code source
899	Unload Terminal Elevator Code	ID	3	4	Code specifying the unloading terminal elevator at grain exporting terminals
901	Reject Reason Code	ID	2	2	Code assigned by issuer to identify reason for rejection
902	Section Designator	ID	1	1	Designates the section of a transaction set standard
903	Envelope Indicator	ID	1	1	Envelope indicator for the control segments in the interchange order table of the electronic form
904	Requirement Designator	ID	1	1	Requirement designator as specified in the standard or standards convention
905	Maximum Use	N0	1	7	Number of times a data segment may appear; the use of 9999999 in the electronic form is to be interpreted to mean 1
906	Level Number	ID	1	1	Loop repeat count as specified in the standard; the use of 9999999 in the electronic form is to be interpreted to mean 1
909	Loop Name	AN	2	4	The name of the loop
910	Loop Repeat Count	N0	1	7	Loop repeat count as specified in the standard; the use of 9999999 in the electronic form is to be interpreted to mean 1
911	Position in Segment	N0	1	2	Relative position of the data element in the segment definition; it is 1 for the data element immediately following the segment ID and is incremented by 1 for each succeeding element to the end of the segment
912	Relation Code	ID	1	1	Code specifying the type of relationship between data elements for the electronic form
913	Data Element Type	ID	1	2	Code to identify the data element type as specified in the standard
914	Minimum Length	N0	1	2	The minimum length attribute for a data element as specified in the standard document
915	Maximum Length	N0	1	7	The maximum length attribute for a data element as specified in the standard document
916	Code List Reference	AN	1	6	The reference to the code list table for the electronic form
918	Code Value	AN	1	8	A code value for an ID-type data element
921	Discipline Type Code	ID	2	2	Code indicating disciplines ordered by a physician
922	Electronic Form Standards Type Code	ID	1	1	Code identifying the standard type being transferred using the electronic form
923	Prognosis Code	ID	1	1	Code indicating physician's prognosis for the patient
924	Full or Partial Indicator	ID	1	1	Code identifying if the electronic form tables being transferred are a full or partial set
926	Data Maintenance Number	AN	1	6	The data maintenance number assigned by the Data Interchange Standards Association (DISA)
927	Damage Code Qualifier	ID	1	1	Code identifying the party maintaining damage area, damage type and damage severity code lists
930	Regulatory Agency Code	ID	3	5	Code relating to the regulatory agency governing the price reference
931	Page Width	N0	1	3	Definition of the maximum number of characters per line that can be expected in the message text
932	Page Length Lines	N0	1	3	Definition of the maximum number of lines per page that can be expected in the message text
933	Free-Form Message Text	AN	1	264	Free-form message text
934	Printer Carriage Control Code	ID	2	2	A field to be used for the control of the line feed of the receiving printer
935	Measurement Significance Code	ID	2	2	Code used to benchmark, qualify or further define a measurement value
936	Measurement Attribute Code	ID	2	2	Code used to express an attribute response when a numeric measurement value cannot be determined
937	Test Administration Method Code	ID	2	2	Code specifying the method of administering the test
938	Test Medium Code	ID	2	2	Code specifying organism on which the test was performed
939	Sample Process Status Code	ID	2	2	Code specifying the stage in the product development cycle at which the specimen was selected for testing
940	Sample Selection Method Code	ID	2	2	Code denoting the method of selecting the specimen
942	Sample Frequency Value per Unit of Measurement Code	N0	1	9	The number of samples collected
943	Sample Description Code	ID	2	2	Code describing the physical configuration or condition of the test specimen
944	Sample Direction Code	ID	2	2	Code specifying the direction in which the sample was collected or tested
945	Position Code	ID	2	2	Code specifying the position of an item such as the location, within a specimen, from which the sample was taken; the position of a coupon within an advertisement; etc
949	Confidence Limit	R	1	4	Percent value expressing the confidence that a true value falls within a certain confidence interval
950	Statistic Code	ID	2	2	A code specifying the specific statistic being reported
951	Balance Type Code	ID	1	2	Code indicating the type of balance
952	Adjustment Application Code	ID	1	2	Code for area to which adjustment applies
953	Interest Rate	R	1	6	The interest rate as a percentage
954	Percent	R	1	10	Percentage expressed as a decimal
955	Tax Jurisdiction Code Qualifier	ID	2	2	Code identifying the source of the data used in tax jurisdiction code
956	Tax Jurisdiction Code	AN	1	10	Code identifying the taxing jurisdiction
959	Payment Cancellation Type	ID	3	3	Code that identifies whether a batch of payments or a single payment is to be cancelled
960	Request for Quote Type Code	ID	2	2	Code specifying the type of request for quote
961	Data Element New Content	AN	1	99	New data which has replaced erroneous data
962	Receiving Advice or Acceptance Certificate Type Code	ID	1	1	Code specifying type of receiving advice
963	Tax Type Code	ID	2	2	Code specifying the type of tax
964	Cost Code	ID	3	3	Code identifying cost element
965	Issuing Carrier Identifier	AN	1	10	Identification assigned by issuing carrier
967	Tray Count	N0	1	3	The number of units in the tray
969	Rate Basis Qualifier	ID	1	1	Code identifying type of tariff information contained in segment
970	Tariff Add-On Factor	N	1	6	Rate Basis Add-on factor
971	Tariff Adjustment Value/Amount	R	1	9	Value that applies to specific tariff adjustment
972	Tariff Class Adjustment Reference	AN	1	6	Reference number used by some carriers to indicate another table or pointer used for class adjustments; reference number will appear in the rates and class adjustments sections of the tariff so that the two sections can be cross referenced
973	Tariff Item Suffix	AN	1	4	Tariff item descriptor
974	Tariff Reference Flag	ID	1	1	Code signifying that printed tariff needs to be referenced for proper application of tariff rules or for further explanation of tariff data
975	Tariff Restriction Description	AN	1	10	Short description of tariff restriction values for multiple minimum charges, the tariff minimum charge abbreviation must be used, e.g., LICMC
976	Tariff Restriction ID Code	ID	1	2	Code identifying tariff restriction values
977	Tariff Restriction Value	R	1	9	Restriction value in - can be miles, weight charges, etc.
978	Tariff Section	AN	1	4	Tariff section identifier as mutually agreed upon by sender and receiver
980	Tariff Section ID Code	ID	2	2	Code identifying type of tariff information contained in the segments that follow
981	Tariff Value Code	ID	2	2	Code identifying how to apply or interpret accessorial charges
982	Data Source Code	ID	2	2	Code identifying source of data
983	Hazardous Class Qualifier	ID	1	1	Code qualifying hazardous class
984	Hazardous Material Shipping Name Qualifier	ID	1	1	Qualifier indicating the source (regulatory) of the proper shipping name
985	N.O.S. Indicator Code	ID	3	3	Code indicating the type of regulatory requirements that apply to a description; N.O.S. stands for Not Otherwise Specified
986	Special Commodity Indicator Code	ID	1	1	Code indicating 'Special Commodity' notation on operational waybill as identified by the Transportation of Dangerous Goods Act and Regulation (TDG)
987	Cryptographic Service Message (CSM) Message Class Code	ID	3	4	Message class (MCL)
988	Cryptographic Service Message (CSM) Field Tag	ID	2	4	The field tag that identifies a field contained in a cryptographic service message; the field tag identifies the contents of the accompanying Field Contents
989	Cryptographic Service Message (CSM) Field Contents	AN	1	32	This data element contains a field or subfield of a cryptographic service message
990	Security Type Code	ID	2	2	Code identifying the security algorithms and methods applied for this level of interchange
991	Authentication Key Name	AN	1	64	Name of the key used for authentication; this name is mutually known to the security originator and the security recipient, is unique for this relationship, and is intended to allow the changing of the key from time to time Note: The special key name 0123456789ABCDEF is reserved for the hexadecimal value 0123456789ABCDEF (i.e. a fixed non-secret value) to provide a well-known value for data integrity testing only) Note: The special key name 0123456789ABCDEF is reserved for the hexadecimal value 0123456789ABCDEF (i.e. a fixed non-secret value) to provide a well-known value for data integrity testing only)
992	Authentication Service Code	ID	1	1	Authentication options
993	Encryption Key Name	AN	1	64	Name of the key used for encryption; this name is mutually known to the security originator and the security recipient, is unique for this relationship, and is intended to allow the changing of the key from time to time Note: If any of the optional fields are present, the Key Name should contain either PUBLIC if a public key is being used to encrypt the one-time key or the actual name of the asymmetric key-encrypting-key used to encrypt the one-time key. Note: If any of the optional fields are present, the Key Name should contain either PUBLIC if a public key is being used to encrypt the one-time key or the actual name of the asymmetric key-encrypting-key used to encrypt the one-time key.
994	Encryption Service Code	ID	1	3	Coded values representing options for encryption processing, including the use of compression and filtering; the code either defines the encryption mode and the transmission filter specification for filtering binary data into transmittable text or specifics that the following subelements define these values
995	Length of Data	N	1	18	Length of data is the number of character positions of the compressed or encrypted/filtered text; when data is plain text, this field shall be absent
996	Initialization Vector	AN	16	512	The archival representation of a value expressed in hexadecimal notation as ASCII characters from the set of characters (0..9, A..F); the value is used as a starting point for encryption of a data sequence to increase security by introducing cryptographic variance and to synchronize cryptographic equipment; a new Initialization Vector (IV) shall be used for each message; the IV shall not be intentionally reused; the binary value, not its ASCII representation, is used for the cryptographic process; in the interchange process, the resultant encrypted and filtered IV is sent; the hexadecimal notation is the representation for archiving purposes; the IV shall be a random or pseudo-random number
997	Hash or Authentication Code	AN	1	64	The message authentication code or hash/digest generated by the authentication process; when the Data Encryption Standard (DES) algorithm is used, the field consists of 4 hexadecimal coded characters (i.e., characters from the set 0..9, A..F), a separator character (space, -, or other), and 4 hexadecimally coded characters; when non-DES hashes are used, the result of the hash is expressed as hexadecimally coded characters without spaces; when authentication or hash is not used, this field should be filled with a non-blank character other than the set (0..9, A..F) for the minimum length
998	Delayed Repayment Qualifier Code	ID	1	1	Code indicating type of delayed repayment
999	Scope of Power of Attorney Identification Code	ID	1	2	Code identifying the scope of a power of attorney
1000	Service Characteristics Qualifier	AN	2	2	Code from an industry code list qualifying the type of service characteristics
1002	Car Hire Detail/Summary Code	ID	1	1	Code identifying the car hire settlement transaction type
1003	Account Type Code	ID	2	2	Code identifying type of car hire allowance or recovery
1004	Percent Qualifier	ID	1	2	Code to qualify percent
1005	Hierarchical Structure Code	ID	4	4	Code indicating the hierarchical application structure of a transaction set that utilizes the HL segment to define the structure of the transaction set
1006	Account Description Code	ID	1	2	Code identifying car hire payment as current, reclaim or miscellaneous items
1007	Rate Source	ID	1	1	Code identifying authority for payment
1008	Case Type Code	ID	1	2	Code identifying a type of court case
1009	Administration of Justice Organization Type Code	ID	1	2	Code identifying a type of organization or entity involved in the administration of justice
1010	Cycle Month Hours	N0	1	3	Identifies the accumulative hours within a month
1011	Association of American Railroads (AAR) Pool Code	ID	7	7	Code identifying a pool of equipment assigned to a specific shipper
1012	Administration of Justice Event Type Code	ID	1	3	Code identifying the type of administration of justice event
1013	Notice Type Code	ID	1	3	Code identifying the type of court notice
1014	Car Type Group Code	ID	1	1	Code identifying the car type for equalization; Group Code is the first character of the American Association of Railroads (AAR) Car Type Code, DE 301
1015	Mileage Settlement Code	ID	1	1	Code identifying the type of mileage settlement
1016	Penalty Code	ID	1	1	Code identifying the type of penalty being assessed on foreign equipment
1017	Claim Type Code	ID	1	2	Code identifying the basis and type of a legal claim
1018	Exponent	R	1	15	Power to which a unit is raised
1019	Invoice Type Code	ID	3	3	Code defining the method by which invoices are to be processed
1020	Sampling Sequence Qualifier	ID	2	2	Code indicating the circumstances under which the special sampling sequence is to be initiated
1021	Sampling Sequence Value	N0	1	3	A value identifying a unit to be sampled, according to its position in a prescribed sequence
1023	Hazard Zone Code	ID	1	1	Code specifying the Department of Transportation assigned zone designating the Inhalation Toxicity Hazard Zone
1024	Number of Tank Compartments	N0	1	2	Number of compartments in a Tank Trailer
1025	Loading or Discharge Location Code	ID	1	1	Code indicating the location of the loading or discharge line connection used for loading or unloading product from a trailer or container
1026	Vessel Material Code	ID	3	3	Code indicating the material that is used in construction of the cargo tank vessel
1028	Claim Submitter's Identifier	AN	1	38	Identifier used to track a claim from creation by the health care provider through payment
1029	Claim Status Code	ID	1	2	Code identifying the status of an entire claim as assigned by the payor, claim review organization or repricing organization
1030	Gasket Type Code	ID	3	3	Code indicating the type of gaskets (used in the trailer valves and hoses) that are required to load or unload the product
1031	Trailer Lining Type Code	ID	3	3	Code indicating the type of trailer (vessel) lining required by the product
1032	Claim Filing Indicator Code	ID	1	2	Code identifying type of claim
1033	Claim Adjustment Group Code	ID	1	2	Code identifying the general category of payment adjustment
1034	Claim Adjustment Reason Code	ID	1	5	Code identifying the detailed reason the adjustment was made
1035	Name Last or Organization Name	AN	1	35	Individual last name or organizational name
1036	Name First	AN	1	25	Individual first name
1037	Name Middle	AN	1	25	Individual middle name or initial
1038	Name Prefix	AN	1	10	Prefix to individual name
1039	Name Suffix	AN	1	10	Suffix to individual name
1041	Sequence Value	R	1	9	A sequence number assigned to a unit within an order
1042	Load or Device Code	ID	2	2	Code identifying the device required to load or unload product
1043	Diameter	R	1	2	Diameter of the object
1044	Hose Type Code	ID	3	3	Code identifying the type of hose required for loading or unloading the product
1045	Inlet or Outlet Material Type Code	ID	2	2	Code indicating the type of material used in the construction of the inlet or outlet
1046	Inlet or Outlet Fitting Type Code	ID	2	2	Code indicating the type of fitting required to make the connection of the inlet or outlet
1047	Miscellaneous Equipment Code	ID	2	2	Code indicating the miscellaneous equipment required to load or unload a product
1048	Business Function Code	ID	1	3	Code identifying the business reason for this payment
1049	Tax Payment Type Code	ID	1	5	Code identifying type of tax being paid
1050	Taxpayer Verification	AN	1	6	The taxpayer verification field may be used by the receiver to verify the taxpayer's identity
1051	Tax Amount	N2	1	10	Amount of tax
1053	Market Exchange Identifier	ID	3	3	Code identifying the market upon which the commodity exchange is based
1054	Commodity Identification	ID	2	2	Code identifying the commodity
1056	Vehicle Production Status	AN	1	2	Status of a vehicle in production
1062	Vehicle Service Code	ID	2	4	Code identifying service performed on an in-transit motor vehicle
1065	Entity Type Qualifier	ID	1	1	Code qualifying the type of entity
1066	Citizenship Status Code	ID	1	2	Code indicating citizenship status
1067	Marital Status Code	ID	1	1	Code defining the marital status of a person
1068	Gender Code	ID	1	1	Code indicating the sex of the individual
1069	Individual Relationship Code	ID	2	2	Code indicating the relationship between two individuals or entities
1070	Type of Residence Code	ID	1	1	Code identifying type of residence
1071	General Expense Qualifier	ID	2	2	Code indicating general expense type
1072	Rounding System Code	ID	1	1	Code indicating the mechanism used to round a calculated value
1073	Yes/No Condition or Response Code	ID	1	1	Code indicating a Yes or No condition or response
1074	Type of Real Estate Asset Code	ID	2	2	Code identifying the nature of a real estate
1075	Status of Plans for Real Estate Asset Code	ID	1	1	Code identifying plans for real estate
1076	Real Estate Loan Security Instrument Code	ID	1	1	Code indicating type of security instrument
1077	Property Value Estimate Type Code	ID	1	1	Code indicating the type of property value estimate
1078	Property Ownership Rights Code	ID	1	1	Code identifying legal basis for property ownership or residence status
1079	Contact Method Code	ID	1	1	Code indicating the type of contact
1080	Assumption Terms Code	ID	1	1	Code indicating the terms for loan assumption
1081	Loan Purpose Code	ID	2	2	Code identifying the reason the loan is needed
1082	Use of Proceeds Code	ID	2	2	Code specifying how proceeds will be used or why they are being requested
1083	Type of Downpayment Code	ID	2	2	Code identifying the source or nature of funds paid
1084	Loan Buydown Type Code	ID	1	1	Code indicating the type of loan buydown
1085	Loan Payment Type Code	ID	2	2	Code identifying the nature of loan payment
1086	Loan Rate Type Code	ID	1	1	Code indicating the characteristics of the loan rate
1087	Negative Amortization Qualifier	ID	1	1	Code indicating the nature of negative amortization
1088	Rate Life Cap Source Code	ID	1	1	Code identifying the rate life cap source
1089	Index Identity Code	ID	2	2	Code identifying the index value used for adjustable rate mortgage rate changes
1090	Improvement Status Code	ID	1	1	Code indicating the improvement status
1091	Buydown Source Code	ID	1	1	Code identifying the buydown source
1092	Negative Amortization Cap Source Code	ID	1	1	Code identifying the value used to calculate maximum negative amortization allowed
1093	Real Estate Loan Type Code	ID	1	1	Code identifying the loan product category
1094	Vehicle Status	AN	1	2	In-transit status of a motor vehicle
1095	Year	N0	4	4	Four position designation of the year expressed as CCYY
1096	County Designator	ID	5	5	Code identifying the county within a state
1097	Mortgage Insurance Application Type	ID	1	1	Code identifying the type of Mortgage Insurance application
1098	Mortgage Insurance Premium Type Code	ID	1	1	Code indicating the type of the initial mortgage insurance premium
1099	Mortgage Insurance Certificate Type Code	ID	1	1	Code indicating whether Mortgage Insurance certificate is for primary loan or pool loan or both
1100	Mortgage Insurance Coverage Type Code	ID	1	1	Code indicating the nature of the Mortgage Insurance coverage
1101	Lien Priority Code	ID	1	1	Code identifying the rights and relationship of a loan to any other loan secured by the same property
1102	Mortgage Insurance Renewal Option Code	ID	1	1	Code indicating the type of renewal option for Mortgage Insurance
1103	Loan Documentation Type Code	ID	1	1	Code indicating type of documentation used in underwriting the loan
1104	Name Component Qualifier	ID	2	2	Code identifying the type of name component
1105	Mortgage Insurance Duration Code	ID	1	1	Code indicating the method of determining the duration of the initial insurance policy
1106	Address Component Qualifier	ID	2	2	Code qualifying the type of address component
1107	Name Type Code	ID	2	2	Code identifying the type of name
1108	Month of the Year Code	ID	2	2	Code identifying the month of the year
1109	Race or Ethnicity Code	ID	1	1	Code indicating the racial or ethnic background of a person; it is normally self-reported; Under certain circumstances this information is collected for United States Government statistical purposes
1110	Vehicle Dimension	AN	1	6	To indicate vehicle size class and exceptions
1113	Coupon Distribution Media Code	ID	2	2	Code specifying medium utilized for coupon distribution
1122	Vent Setting Code	ID	1	1	Code describing the setting on the air vents on ocean-type containers
1123	Offer Basis Code	ID	2	3	Code specifying the basis on which the underwriter offers to provide coverage
1126	Academic Degree Code	ID	3	3	Code indicating the level of postsecondary academic award earned by a student
1127	Interline Settlement System Status Action or Dispute Code	ID	2	2	Code specifying action to be taken or current status of a revenue waybill
1129	Adjustment Reason Code Characteristic	ID	1	2	Specifies an additional characteristic of the adjustment reason
1130	Primary or Contingent Code	ID	1	1	Code identifying if the beneficiary is the primary beneficiary or the contingent beneficiary
1131	Level of Individual, Test, or Course Code	ID	2	2	Code identifying level of course, test, or student
1132	Instructional Setting Code	ID	1	2	Code indicating type of instructional setting where a special education program is provided
1133	Program Participation and Services Code	ID	1	2	Code indicating other programs in which a student is enrolled or services received
1134	Program and Services Funding Source Code	ID	1	1	Code identifying the source of funding for a program or services
1135	Placement Criteria Code	ID	1	1	Code indicating the criteria used to place students in a special education program
1136	Code Category	ID	2	2	Specifies the situation or category to which the code applies
1137	Medical Code Value	AN	1	15	Code value for describing a medical condition or procedure
1138	Payer Responsibility Sequence Number Code	ID	1	1	Code identifying the insurance carrier's level of responsibility for a payment of a claim
1139	Session Code	ID	1	1	Code identifying the type of academic session at an educational institution
1140	Floor Type Code	ID	1	2	Code indicating the type of floor for equipment
1141	Academic Credit Type Code	ID	1	1	Code indicating the type of credit used (awarded) by the sending institution
1142	Academic Grade or Course Level Code	ID	1	2	Code indicating the level or type or both, of work which is reflected in the grade average and the credit hours
1143	Coordination of Benefits Code	ID	1	1	Code identifying whether there is a coordination of benefits
1144	Academic Grade Point Average	R	1	6	The grade point average of a student
1145	Class Rank	N0	1	4	This is a student's numerical class rank with the highest student in the class having a rank or position of 1
1146	Disability Type Code	ID	1	1	Code identifying the disability status of the individual
1147	Basis for Academic Credit Code	ID	1	1	Code indicating how academic credit was granted by an institution or earned by a student
1148	Academic Grade Qualifier	ID	1	3	The grading scale used by an academic institution for an academic course
1149	Occupation Code	ID	4	6	Code identifying the occupation of an individual
1150	Course Repeat or No Count Indicator Code	ID	1	1	Code indicating when an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average
1152	Override Academic Course Source Code	ID	2	2	Code indicating the source of academic credit if not from the sending educational institution
1153	Academic Field of Study Level or Type Code	ID	1	1	Code indicating the field of study being described for a student in an academic institution by indicating how it was used in the academic program or indicating a course area in a field of study
1154	Work Intensity Code	ID	1	1	Code identifying the level of intensity of work
1155	Educational Test or Requirement Code	ID	1	3	Indicates a particular national, regional, state, or local test or requirement
1156	Test Norm Type Code	ID	1	1	Code identifying the type of norming used for the academic test
1157	Test Norming Period Code	ID	1	1	Code indicating time of the year of the norming of an academic test
1158	Subtest Code	ID	5	5	Code indicating a particular subtest of a test
1159	Test Score Interpretation Code	ID	1	1	Code indicating unusual testing conditions that must be known to interpret properly a person's academic test score
1160	Test Score Qualifier Code	ID	1	1	Code indicating the manner in which the actual academic test score result is reported
1161	Product Option Code	ID	1	2	Code indicating an option chosen for the product
1162	Show Code	ID	2	2	Code identifying the show
1163	Ticket Category Code	ID	2	2	Code identifying category of ticket sold
1164	Network or Schedule Data Type	ID	2	2	Codes to identify the network or schedule or type of presentation
1165	Confidentiality Code	ID	1	1	Code indicating the access to insured information
1166	Contract Type Code	ID	2	2	Code identifying a contract type
1167	Sample Selection Modulus	R	1	6	To specify the sampling frequency in terms of a modulus of the Unit of Measure, e.g., every fifth bag, every 1.5 minutes
1168	Door Type Code	ID	1	2	Code indicating the type of door on a railcar
1171	Milestone Number Identification	AN	1	20	To identify a milestone number
1172	Claim Response Reason Code	ID	1	3	Code identifying the detailed reason for the response
1173	Task ID Qualifier	ID	2	2	Codes to identify the task or activity or event type
1174	Task Identifier	AN	1	20	To identify a task or activity or event number
1175	Relationship Task Identifier	AN	1	20	To identify a related (successor) task or activity or event number
1176	Employment Class Code	ID	2	3	Code indicating category of employee
1178	Level	AN	1	3	Reporting structure identification
